,Iron Leaves,Gengar,Iron Valiant,Volcarona,Barraskewda,Mimikyu,Gholdengo,Cacturne,Bronzong,Chansey,Garchomp,Pincurchin,Scream Tail,Quaquaval,Toedscruel,Ditto,Grafaiai,Toxapex,Tauros-Paldea-Aqua,Bisharp,Toxtricity,Zangoose,Indeedee,Lucario,Bellibolt,Florges,Eiscue,Frosmoth,Altaria,Slowbro,Oricorio-Sensu,Glimmora,Arcanine,Revavroom,Kingambit,Magnezone,Staraptor,Meowscarada,Cloyster,Klefki,Ting-Lu,Scovillain,Farigiraf,Salamence,Wo-Chien,Haxorus,Dachsbun,Glaceon,Clodsire,Cinderace,Goodra,Noivern,Hippowdon,Blissey,Brambleghast,Primeape,Greninja,Sylveon,Klawf,Decidueye,Iron Jugulis,Kilowattrel,Amoonguss,Squawkabilly,Armarouge,Slaking,Golduck,Rotom-Wash,Pelipper,Avalugg,Talonflame,Scyther,Umbreon,Zoroark-Hisui,Rabsca,Dragalge,Heracross,Ceruledge,Iron Thorns,Quagsire,Masquerain,Dragonite,Gyarados,Vaporeon,Dunsparce,Orthworm,Froslass,Ursaring,Dragapult,Gardevoir,Lycanroc,Breloom,Slowking,Alomomola,Flareon,Rotom-Mow,Hawlucha,Torkoal,Polteageist,Grimmsnarl,Magneton,Tauros-Paldea-Blaze,Iron Treads,Hattrem,Rotom-Frost,Brute Bonnet,Samurott,Arboliva,Corviknight,Cetitan,Sableye,Naclstack,Dugtrio,Veluza,Iron Hands,Scizor,Bombirdier,Donphan,Floatzel,Electrode,Tsareena,Gastrodon,Weavile,Baxcalibur,Dondozo,Garganacl,Tyranitar,Sandy Shocks,Tinkaton,Indeedee-F,Charizard,Skeledirge,Salazzle,Abomasnow,Roaring Moon,Luxray,Tatsugiri,Oricorio-Pom-Pom,Cryogonal,Crabominable,Hatterene,Rotom-Heat,Great Tusk,Lycanroc-Dusk,Slither Wing,Crocalor,Espeon,Pawmot,Lokix,Azumarill,Spidops,Maushold,Walking Wake,Hydreigon,Forretress,Gallade,Iron Moth,Flamigo,Drednaw,Krookodile
Blissey,0.0169617849,0.006657254,0.8632042631,0.5503575904,0.0032658367,0.0545469804,2.7958658642,0.0,0.015028412,1.6436e-06,0.0529934807,0.0004477858,0.7873065694,0.015944935,0.088633679,1.7877329739,0.0288696693,39.5416509094,5.61864e-05,9.38e-06,0.0001155212,4e-10,1.32111e-05,0.0030096236,0.0115622697,0.0024410992,1e-10,0.0041755276,3.453e-06,0.5872210894,0.0,0.4702280696,0.0010877022,1.39197e-05,0.473195128,0.003701778,0.0021339431,0.3583192591,0.0051463195,0.0025147176,1.0188077843,0.0681952307,0.003128002,0.0557249563,0.0107505286,0.0001113515,2.064e-07,4.2674e-06,35.9622504869,2.1522546836,0.2528077464,0.0003517046,0.0334655696,0.0,0.0004950257,5.858e-06,0.0020769122,6.99584e-05,0.0,0.0208531193,0.0005801618,0.0289594121,13.7472430624,0.0,0.0090466755,0.0449464847,0.0,1.1457252509,0.0037268807,0.0386461899,30.1188789614,0.001044083,0.0243683232,0.0774016809,0.0,6.389e-06,0.0002325826,0.0153565821,0.0015897977,3.9522024099,8.09e-08,2.4858747295,0.0635749266,1.6416217362,7.458e-07,0.0291534041,0.0,3.275e-07,10.0254580724,1.0881e-06,0.0003468882,0.4758179187,0.3887585789,35.9380256707,0.0,0.0,3.1e-09,0.2356461292,0.0021765444,0.011779186,0.0,0.0899330922,0.0023256586,0.0,0.01033977,0.0052834113,5.69252e-05,0.0066214872,14.2829133886,0.0041766395,0.0023523395,1.0885e-05,1.36962e-05,1.6151e-06,0.085239044,0.1398511149,0.0,0.0034498817,0.0003435902,4.77748e-05,3.95342e-05,0.2353974415,4.23292e-05,0.0330963936,44.8714913095,2.3038087297,0.0024101576,0.0512570037,2.0623766027,2.09015e-05,0.0013374056,3.7168349342,0.0078244781,0.0041764487,0.1472207149,4.60867e-05,3.453e-06,0.0,0.0769543182,0.0,0.5092007166,1.48699e-05,11.3187811154,0.0001401247,0.0140735468,0.0,0.0085495156,0.0001960401,0.000493694,0.0048785039,5.35189e-05,0.003995101,0.9867675498,0.0351008164,0.0593118037,0.0,0.0948023639,0.0077051249,7.2152e-06,0.0061238468
Fletchinder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966e-06,0.0,0.0,0.0,1.0966e-06,0.0,0.0,0.0,0.0,0.0,1.9367e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035355016,0.0,0.0,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035374382,1.0966e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035374382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iron Valiant,45.0339143856,0.4041969219,0.0,73.1286907439,0.0067610418,1.5057389106,149.7158345963,1.4365209284,0.1027379627,7.21014e-05,63.3492605455,75.145190163,0.5035792214,16.217884045,16.6293119717,0.1204852523,0.031863531,53.1366270214,0.0334584389,0.0288401912,2.4469410742,0.0018791647,1.0360616504,1.4222734038,0.0335396994,0.0115505268,0.2062866769,0.0104962071,0.0077292617,0.069639653,0.0720953739,235.9169999657,0.2883843574,5.1935572845,390.5556993239,2.7297498004,0.2534274355,83.209269959,6.1665024746,0.0209370255,43.7733777918,0.0151170401,0.0035489934,2.2278464746,2.742747867,1.0359513817,5.891e-07,0.1300100838,27.1705801989,38.768160208,0.012391862,0.4564182267,0.7495108814,0.8632042631,1.1039178106,0.009057795,50.6222567578,0.1198217373,0.0198323905,1.7742242764,29.4645524176,0.0178596067,29.8290355033,0.0029075681,11.2126584796,0.0028445482,0.0080636783,77.935653249,18.3297050928,0.0011680301,0.3082840044,6.36176e-05,0.1306832818,58.7336299349,0.0286557327,0.010508771,0.0504355695,95.6592126927,5.0923365644,0.0644161647,7.1908553105,250.7750758028,1.8660511159,0.0801164125,1.97847e-05,265.5600350703,0.2802904353,3.88186e-05,104.2374210594,0.2852069429,0.0158475367,10.0962794805,32.7162738082,0.8796770172,0.000133595,0.0018819778,1.0456739155,6.1482245235,0.9208453843,15.8431782428,1.84511e-05,0.1256486698,87.1997925185,2e-09,0.6102269158,0.7964757408,0.0028431507,9.4829697527,77.5669763326,0.6028607752,0.0113025569,0.0018087284,0.45207882,0.070691801,40.5251652413,9.6685807806,0.1563381587,0.0184714398,10.2436902646,1.8066551031,0.0132676899,1.7990328613,3.7693589069,144.7532860642,7.1857686133,32.5177836468,3.4352507826,23.7635208585,2.2284254811,0.0268052701,0.0120733662,42.8405567757,0.0377711208,1.1404978194,234.2460363688,0.0118655647,0.0857729956,0.3508696846,0.0247624323,8.0471e-06,26.2500778635,0.1105839384,271.7268444266,0.1230793809,0.7621008757,9.9574e-06,0.2265082826,3.2486196697,0.9838957695,66.2904260106,0.0082914984,0.5569647275,29.3523395875,23.3950986028,0.1373553284,13.1343532048,157.2644918942,0.1169684922,0.0753227178,0.0264834259
Volcarona,5.7857017779,0.1493924809,73.1286907439,0.0,0.1976202958,0.0875301444,66.0937787191,1.4388623948,0.0009471862,0.0034993392,9.8616580611,2.0790995765,2.6007070244,5.3180198264,0.1936917003,0.3768537985,0.0008305155,14.0329364882,0.0054577328,0.0246884586,2.4930403605,0.0029015889,22.4191849113,0.2464730292,0.005081038,0.0412747514,0.0004668724,0.0877870324,0.0069364422,0.2998647374,0.2146649744,117.0298920315,0.0017915456,0.1418376059,192.4873572681,0.7735544996,0.1532052222,41.5220732379,0.9050372151,0.1271370173,13.4649645452,0.0103386779,0.0404034281,0.5444359186,1.0338184591,0.3459475646,0.0130536251,0.0095908151,15.5535303769,1.6189012639,0.0900557196,0.1089231651,0.003546616,0.5503575904,1.0256170528,0.1100301973,6.6214439943,0.0643384798,0.2905970166,0.0834673183,10.5758400008,0.0165852781,3.7731787362,0.003486887,22.778615758,0.0010161546,0.000810831,30.7215822994,0.3365490322,0.000152517,0.2018443778,1.59838e-05,0.036116074,63.7173971408,0.0479368691,1e-10,0.0161810845,1.3334803954,0.8543602481,0.1371614058,0.2779932585,40.1416723421,1.1832158541,0.0159917375,4.60283e-05,32.9664505193,0.0040629632,0.0001134743,139.2785093327,0.0457594823,0.0007088174,21.9115843701,6.4352875056,0.6270048334,0.0008289861,5.5876e-06,4.0543844135,26.8175012539,22.6138051316,3.3332256315,5.9848e-06,0.0040815885,3.7774216682,2.6e-09,0.0,10.9336412113,0.0136156665,0.0627244691,31.6756645369,1.5679559565,0.0004079733,0.1887505834,0.0041062385,0.0061738864,7.0461172124,2.248888129,0.0005106859,0.1420780703,0.0185067479,0.0002838714,0.0038737325,0.520929695,0.0288129309,35.8781009986,6.7570170717,44.2771857359,0.4045141841,9.6166220647,2.0466413954,0.661211575,0.0011047367,1.0819379892,0.004873105,1.7897004253,44.6046463134,3.1813e-06,0.0019397608,0.0030606519,0.0014171978,5.9e-09,45.8831754635,0.0001577864,125.0128617551,13.9547459195,9.3075645572,7.83e-08,0.1265983859,4.9692364003,0.162618916,13.6314452347,0.0230995271,0.2612121304,73.5953154905,17.6528751764,0.0331109514,0.2030441484,0.9730265525,0.0873480318,0.2351713011,0.0174856214
Applin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.90695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.90695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.90695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.90695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7457e-05
Spiritomb,2.5653e-06,7.551e-06,0.016341693,2.63659e-05,1.35217e-05,0.0001173654,0.0041569928,3.887e-07,0.0001026276,0.0,0.0001207331,0.0024357667,0.0,0.0070477613,0.0001998038,1.97711e-05,3.02152e-05,0.0044786512,0.0,6.013e-07,0.0071612572,0.0,0.0,3.60054e-05,0.0,1.50754e-05,0.0,0.0,0.0,0.0004586672,4.54e-08,1.90057e-05,1.50721e-05,5.07373e-05,0.0050637144,6.2849e-06,0.0072151582,0.0001200294,2.61657e-05,1.4757e-06,0.0008458968,2.006e-07,0.0004051222,5.932e-07,2.4226e-06,9.474e-07,0.0,5.7297e-06,0.022401181,4.201e-07,1.3525e-06,0.0150613646,5.2369e-06,5.795e-07,1.84722e-05,0.0,0.0044543658,0.0,0.0,1.22187e-05,7.1508e-06,0.0,4.2945e-06,0.0,0.0024563965,2.056e-07,0.0,5.56181e-05,9.279e-07,1.6924e-06,1.8255e-05,0.0,0.0046797715,0.0012802723,1.49179e-05,0.0,1e-10,5.9083e-06,0.0070296609,1.10717e-05,0.0070401449,0.0041721278,4.989e-07,6.664e-07,1.97697e-05,1.98812e-05,1.4757e-06,3.37845e-05,0.0001170139,0.0,0.0,0.0003519846,1.45391e-05,5.451e-07,9.75e-08,1.4e-08,0.0,0.0014634189,0.0,0.0004568873,0.0,0.0150613614,0.0024357621,0.0495965238,0.0071612572,0.0,0.0,2.99041e-05,0.0005485397,1.7e-09,0.0,0.0,0.0,0.0,0.002680609,0.0001712703,0.0,0.0071613259,2.4183e-06,0.0,0.0,0.0002358204,1.6924e-06,2.6155e-06,0.0007134053,0.0024745041,4.3566e-06,0.0070296617,0.0005621583,0.0002277224,0.0071616434,0.0002785053,1.4399e-05,0.0,0.0044495314,6.888e-07,0.0,0.0,2e-10,2e-10,0.004778515,0.0,0.0041744371,2.5637e-06,1.3e-09,0.0,0.0151072673,1.3533e-06,0.0,0.0001578411,2.2e-09,0.0004286367,3.79926e-05,3.34346e-05,0.0004349376,2e-09,2.5901e-06,7.76e-08,3e-10,9.5854e-05
Torkoal,0.3633277877,0.3543652987,6.1482245235,26.8175012539,0.0025947755,0.5670553086,17.6549308631,0.8127643212,0.0404991887,0.0077924544,8.8269233703,0.237917339,74.5635433639,0.0907607607,0.2128082149,0.4847879732,0.1380679768,4.6343638159,2.5362e-06,0.0160362293,3.63899e-05,0.0003437273,1.0383001958,0.025080864,0.030384136,0.0302514356,0.0009815405,1.59078e-05,0.0209040147,0.0033077972,0.0,10.1973349074,0.1392671639,0.0053140767,54.9682196604,0.7910655441,0.8404917487,3.7167798291,0.0033941326,0.0595874241,4.0935854186,14.0155711382,2.27969e-05,0.0319419287,0.1987627754,0.0565617118,0.0060670669,0.0040564757,12.9836719821,20.954262054,0.0225526249,0.0021456721,0.0001282944,0.2356461292,0.0045246865,0.004978207,0.1760868026,0.4664175513,1.29e-08,0.0424821487,0.2015255554,0.0266047351,6.6141811673,0.0010688222,17.4765060944,0.0010874847,1.74307e-05,3.1733345302,0.6149614895,3.5977e-06,0.1427199712,9.0066e-06,1.1747291057,6.2189018259,12.0073588883,6.84102e-05,0.0008077246,75.7877651098,0.04971805,0.0194693376,0.2574528329,23.5792757107,0.0004786923,0.0430946633,0.2780682155,1.3058957049,2.4299e-06,0.0619901672,24.3924315787,0.0083840324,6.84058e-05,3.293827595,0.4803029269,6.5636e-06,0.0051939838,0.0016225844,0.008182117,0.0,0.0610256179,1.4905258965,4.5e-08,0.1256957107,0.4420978645,0.1147883249,0.0021361561,76.1848895531,4.4513e-06,0.1860723191,104.8945040755,2.80124e-05,0.0482475398,2.4e-08,0.0,0.000980501,11.8785539946,3.5230689588,0.0929246023,0.0189611153,0.024607527,3.3e-09,0.0001397327,2.3223555056,0.0113796021,3.2413964707,1.9401023259,6.8703714178,0.8564270869,31.3845253978,0.2402151096,0.0292965075,11.1712093671,3.6200085941,0.023226481,0.0019677669,97.743527843,0.0002146103,0.0002262415,0.0012708798,0.0589329472,0.0196385136,131.1236796937,0.6719945389,227.1250526022,0.0092858823,22.3373923142,2.72651e-05,0.3208228748,0.1791369889,0.5293039925,0.4285746152,0.0317652472,0.0668574345,251.7565188112,1.5469039213,0.0312849622,0.2885722965,19.0002321457,0.0065834985,0.0003638244,0.000253608
Naclstack,1.3e-09,2.52e-08,0.0018087284,0.1887505834,8.82e-08,0.0,0.2267850173,5.6e-08,0.0,0.0066045629,0.0029966141,0.0,0.000646138,0.007192876,0.005250648,0.0002504261,3e-10,0.001808654,0.000110863,2.60213e-05,6e-10,0.0,0.0,0.0,7.44e-08,0.0,0.0,3.262e-07,0.0,0.0,0.0,2.2363e-06,0.0,0.0,0.0,0.0,0.0,0.2148651756,0.0,0.0,2.943e-06,0.0,1.2e-09,0.0,0.0,0.0,7e-10,1.2e-09,0.0350975619,0.0,0.0001108633,0.0,3.979e-07,1.0885e-05,3e-10,9.2436e-05,0.0064146891,0.0003500339,0.0,0.0,3e-10,0.0,0.0077935948,2e-10,0.0,0.0,0.0,0.0136092009,8.82e-08,6.95e-08,0.1887506829,3.1538e-06,0.0,0.0001108634,0.0,0.0,0.0,0.039974545,0.0,9e-10,1.3e-09,0.0399745456,0.0,0.0,2.48063e-05,0.0,0.0,0.0,0.0011883118,0.0,9e-10,8.85e-08,0.0118539952,2e-10,0.0,0.0,0.0002391445,2.4e-08,0.0,0.0399754952,0.0238599575,1.2e-09,0.0002394706,0.0,0.0,2e-10,0.0,0.0,0.0090308953,0.0,0.005250648,0.0,1.0885e-05,0.0,9.502e-07,0.0,0.0,1.4e-09,0.0,0.0,0.005250648,0.005250648,0.0,0.0,3.966e-07,0.2584067087,0.0,2.2357e-06,0.0,0.0,3.963e-07,0.0142530268,3.26e-07,0.0,0.007192574,0.0,0.0258751216,0.0,0.000110863,0.0,0.039974545,0.0,0.0101925667,0.0,3e-10,0.0304416506,0.0,2e-10,0.0,0.0,0.0,2.2369e-06,3.5103e-06,0.0,2e-10,2e-10,0.0,0.0,8.82e-08,0.0
Barraskewda,2.813052852,0.0025041046,0.0067610418,0.1976202958,0.0,0.0010660817,0.2913962789,0.0,1.4037e-06,6.63852e-05,0.0294624636,6.02927e-05,5.81052e-05,0.0719618952,4.1027e-06,0.0022207259,0.0008079636,0.0026108613,0.0052092411,0.0001064551,1.25e-08,5.8e-09,0.0002124604,1.4891e-06,2.82126e-05,8.77e-08,1.85e-08,1e-09,0.0,0.0031191157,0.0,0.0067241408,3.71204e-05,3.32706e-05,28.8866220669,0.013616303,1.79e-08,0.1030853944,0.0033429732,0.13345677,0.0230509478,1.576e-07,2.73559e-05,0.1334476402,8.1377e-06,4.05362e-05,0.0,2.0282e-06,5.8217200354,7.86724e-05,2.64869e-05,0.0044975352,0.001420997,0.0032658367,5.1886e-06,0.0,0.0242190772,0.0,7.761e-07,0.0112082126,2.8378307786,0.0912582979,0.4406284154,0.0005399404,0.0002150291,8.7746e-06,0.0003303006,0.1566241078,44.9728762874,4.08e-08,0.0020908792,1e-10,5.32879e-05,0.001950109,5.07e-07,3.74e-08,0.0014206952,5.16525e-05,0.0,8.4242e-05,9.0362e-06,0.0207108699,0.0001093709,2.73e-07,9.7e-09,0.005530532,1.34e-08,5e-10,35.5662365346,2.23713e-05,2.22375e-05,0.0477897908,2.72578e-05,2.679e-07,1e-10,0.0,0.0002754237,0.0025947755,0.0002121419,0.0077454644,7.764e-07,0.0,15.1074565736,0.0,0.0,0.0019519142,0.0,0.069559382,5.8289152752,8.77e-08,0.0005084567,8.82e-08,3.59203e-05,0.0004998807,2.35666e-05,0.5323957081,5.2062e-06,1.191e-07,0.2261267591,3.59203e-05,0.0049687798,2.8138512406,0.0009775449,35.4869857465,0.0096479285,5.5995195299,0.001200496,0.0105106925,2.5217e-06,2.232e-07,0.0,0.0005681111,1.3598e-05,2.422e-07,0.014338142,0.0,0.0031128872,0.0,0.0003563819,0.0,0.0826537485,0.0025470363,0.433056437,0.0005117522,3.54e-08,0.0,0.1339330983,0.0774377809,3.7492e-06,35.1504873566,0.0004162609,0.0003928262,0.4041785315,0.0024896182,6.4647e-06,5.6781e-06,0.0215567866,1.485e-07,0.0180161461,0.0001551268
Mimikyu,0.0085602208,0.0577068043,1.5057389106,0.0875301444,0.0010660817,0.0,2.763698007,0.0301479362,0.0110709613,0.0010608646,2.7754170153,3.7e-09,0.0087628165,0.0379459208,0.0018870703,0.0414313787,0.018728177,1.8144436726,0.0006081138,0.0604718057,0.0006567216,3.39e-08,0.1676134514,0.0004362784,0.0004038692,1.50721e-05,2.2503e-06,7.57054e-05,6.3034e-06,2.41556e-05,0.0721074613,0.9766329277,5.66082e-05,0.0016180573,1.1091608652,0.0114163947,0.0013194623,2.5240395405,0.9506394815,0.0206311362,0.0641800058,0.0005398192,0.0002077103,0.000752515,0.0075770264,0.0002169346,6.03e-07,0.072154015,1.2114499324,0.2812696496,0.0033299616,0.0035001052,0.0074952514,0.0545469804,0.0025076488,0.0001456048,10.9018442074,0.0196645962,0.0,0.15873211,0.0183938563,0.003267237,0.1492555013,0.0,0.0414419315,0.0413068381,0.0,1.2809973219,0.0021690303,3.83855e-05,0.106778543,1.9e-09,0.0025213688,2.2664475017,0.2455190758,0.0005699142,0.0027444352,0.0156119007,3.1168548609,0.0020699863,0.1408782971,3.3007419072,0.0370591238,0.0002868801,0.0,10.8794188482,1.2406e-06,0.0095763205,0.1404239805,0.0225601939,1.0739e-06,0.43392456,0.1798847215,3.9e-09,0.002862454,1.60864e-05,0.0009733635,0.5670553086,0.0021365035,0.025325428,9.5766e-06,3.65693e-05,0.0561956969,0.043664493,0.0,0.1438029349,0.0,0.4241860141,0.3900407308,0.0005567239,0.0179076264,0.0,1.13994e-05,0.0169441376,0.2051853252,0.3910578851,4.4901e-06,0.0,9.67436e-05,0.0,0.0033900079,0.0081599171,7.34807e-05,7.5722182973,0.00536704,0.3016435588,0.0242485374,0.1967702008,0.0101986944,0.0285939867,4.07034e-05,0.9872900397,0.0443015638,1.1436e-06,0.3167139537,2.25e-08,0.001143635,2.168e-07,0.0011345185,0.0557731157,9.0907830254,0.009816335,1.410502115,0.0033680855,0.0011909579,0.0,0.0839627641,0.004390054,0.0104317673,0.0715212414,0.0001047571,0.0150252013,0.5339035105,0.0351024035,0.0019237367,0.0100873153,7.520896168,0.0130271381,7.6969e-06,0.0068818266
Gholdengo,7.8380668333,0.2167499745,149.7158345963,66.0937787191,0.2913962789,2.763698007,0.0,1.6552594293,0.0002049037,0.0295495669,52.5835765224,5.510185477,7.6001425179,38.1544821318,37.8421271192,6.7999675344,0.21450132,34.8244006754,1.0142451501,0.1036536106,0.1571324097,0.010217225,0.2968367814,0.0366754298,0.0062695218,0.0071644347,0.0230492159,0.1155418183,0.0110492048,0.0709731418,2.72797e-05,149.1623415386,0.1496294143,0.0487572397,224.8309254311,2.5474471928,0.1829899542,129.9115412383,1.4423610143,0.2731338918,104.3064742863,0.0951190911,0.0177795307,0.8235525907,16.3899873936,0.234766946,0.0561934426,0.0120863409,64.7509348498,30.7605025606,0.0156175093,0.2612444149,1.2334894566,2.7958658642,0.3406487425,0.1831110591,20.8433948563,0.3859533659,0.0003460831,1.8458953007,25.8164924944,0.1508228609,18.4999086358,0.3186314688,43.4959438268,0.0413296566,0.3972211959,74.6931337096,8.3415823514,0.0468775477,1.7220393892,0.0062723636,0.0358079547,30.4658219696,0.0662111988,0.026205372,0.1550233556,6.7683612141,1.4170877686,0.2947408278,9.0260149634,179.6723364761,0.6022363901,0.3128066167,0.0012754549,12.4937093841,0.2347639513,0.0049266603,94.7489242727,0.2154557324,0.1150841584,24.9685867154,14.4196933785,4.4595424185,0.0182918008,0.002797465,0.0309527919,17.6549308631,0.0256080857,43.6821572462,1e-10,0.7756906277,52.272657283,0.0,0.0558915364,0.6503595396,0.0110391755,3.2988762885,41.7639091795,0.0680263519,0.3265898674,0.2267850173,0.6038351313,0.0425144981,3.680802904,3.3588125069,0.2094145141,0.0047083277,1.4679454778,1.6900916562,0.0206149837,2.3213135494,0.4513675045,61.3698805056,22.7472803949,71.9640313878,2.1525741884,38.1850300642,0.7067423446,0.0135283232,0.0368164683,23.2349089907,0.0500447207,1.450762552,127.1522389081,3.20125e-05,0.7749592777,0.0012899379,0.0884788409,2e-10,29.4184669533,0.3731205792,364.2344548774,2.2120152121,7.1685554729,2.532e-07,0.8221979723,2.7623184813,6.9632140946,55.3684121629,1.6104179153,0.5587665473,84.5104705084,28.8050790327,0.1015927648,0.9435250905,96.6022405954,0.2537389587,0.0015021131,0.0355188729
Cacturne,4.0097e-06,5.32229e-05,1.4365209284,1.4388623948,0.0,0.0301479362,1.6552594293,0.0,3.887e-07,4e-10,0.2187373218,0.0,0.0,0.0007696581,2.1826e-06,0.0,2.67e-08,0.2935113016,0.0,1.77194e-05,4.23592e-05,0.0,0.0,0.0002389755,2.33836e-05,0.0,6.75432e-05,0.0,0.0,0.0,0.0,1.4555090488,0.0,0.0,2.2467971074,3.20354e-05,6.041e-06,3.12946e-05,1.8355e-06,0.0,0.0001056784,0.0024473348,2.30234e-05,9e-10,0.0,1e-10,0.0,0.0,0.2823614056,0.6756625541,3.58128e-05,4.929e-07,6.977e-07,0.0,0.0,2e-10,6.75442e-05,0.0,3.7e-09,0.2187327665,1.74806e-05,2e-10,0.0301479797,1.023e-05,4.72333e-05,5.26617e-05,0.0007695949,1.9e-09,0.0007977723,0.0,5.39586e-05,5.527e-07,0.0,5.2746e-05,6.04e-08,6.1e-09,5.50545e-05,8.1321e-05,1e-10,1e-10,0.2210701963,0.0611006042,0.0,0.0,0.0,0.0585644697,0.0,3.3383e-06,0.000113366,6.9e-09,0.0,0.2188586298,1.441e-07,0.2633633804,0.0,0.0,6.75433e-05,0.8127643212,0.0,9.1809e-06,3.361e-07,9.1771e-06,0.0609390525,0.0,0.0,0.0,0.0,2.358e-07,0.9390274837,0.0,0.0,5.6e-08,0.0,0.0,0.0,7.0065e-06,0.0,4.56951e-05,9.061e-07,0.0,7.0064e-06,0.6756625533,0.0002415751,0.0608718909,0.2633639734,0.0189998962,1e-10,0.0,0.0,3.588e-07,0.0001296967,0.6947794218,1.8355e-06,0.0,0.0023369331,4.23592e-05,1.8416e-06,0.0,0.0,3.686e-06,0.8134200072,5.616e-07,1.4863710788,6.1e-09,9e-09,1.0096e-06,3.7742e-06,5.43885e-05,1.71935e-05,2.46985e-05,0.0002388429,0.0585349856,0.8316499653,0.0,4.23592e-05,0.000772928,8.8e-09,0.0,1e-10,6.977e-07
